feature,importance
id.orig_p,0.24669363361351634
id.resp_p,0.04241074190027427
active.tot,0.02677935015241247
flow_iat.max,0.024897165951747607
active.avg,0.024283341051650142
flow_iat.tot,0.02304679394602029
active.min,0.022692878910031158
bwd_pkts_per_sec,0.022427062242101118
flow_pkts_per_sec,0.022427036565124465
flow_iat.min,0.021990145983354772
flow_duration,0.02183833797067257
active.max,0.021648724526182675
fwd_pkts_per_sec,0.020960226696205692
flow_iat.avg,0.02017004342162623
payload_bytes_per_second,0.019929916388801972
bwd_iat.avg,0.016401387045292284
fwd_iat.tot,0.01606199323050602
fwd_iat.max,0.015930625763143982
flow_iat.std,0.015687747691511645
fwd_iat.avg,0.015463737296679693
bwd_iat.max,0.014639558283539038
bwd_iat.min,0.013562933240186712
bwd_iat.tot,0.013067861879590465
flow_pkts_payload.avg,0.0129240723860632
fwd_iat.std,0.012831111507720507
fwd_iat.min,0.012771897558508051
flow_pkts_payload.tot,0.012584219830930403
fwd_subflow_bytes,0.010817410268108549
bwd_iat.std,0.010384489234958648
fwd_pkts_payload.tot,0.010356602803890995
bwd_pkts_payload.avg,0.010232973998279937
fwd_pkts_payload.avg,0.010231207839352666
bwd_subflow_bytes,0.009579454334802031
flow_pkts_payload.std,0.009378061986589905
bwd_pkts_payload.tot,0.008928952781537667
bwd_pkts_payload.std,0.008397627967408493
fwd_pkts_payload.std,0.007670603611001163
idle.avg,0.007136543221787804
bwd_pkts_payload.max,0.007069929036789141
bwd_pkts_tot,0.00654769431584981
idle.min,0.006462650453319991
bwd_subflow_pkts,0.0059390073898290185
fwd_header_size_tot,0.005813488762147011
idle.tot,0.005506908101469589
bwd_header_size_tot,0.005500779761911613
flow_ACK_flag_count,0.005364052949463246
flow_pkts_payload.max,0.004972385169677217
down_up_ratio,0.00486310181335826
fwd_pkts_payload.max,0.004850078186959455
idle.max,0.004728402335706719
fwd_PSH_flag_count,0.0041155430132998145
fwd_pkts_payload.min,0.003998932778072389
bwd_bulk_rate,0.003964440637572604
fwd_pkts_tot,0.003782753152125186
fwd_subflow_pkts,0.003509335386112971
bwd_header_size_max,0.00338206112874586
fwd_data_pkts_tot,0.0032282052756965754
bwd_PSH_flag_count,0.002919574357571354
flow_pkts_payload.min,0.002800563878286246
proto_tcp,0.0027484820777420042
bwd_data_pkts_tot,0.0026850605640879655
flow_SYN_flag_count,0.0026340443152085857
fwd_URG_flag_count,0.0026322514363067207
flow_FIN_flag_count,0.0025396941009289855
fwd_init_window_size,0.002446519418504218
fwd_header_size_max,0.002345624074284579
flow_RST_flag_count,0.0021448025018842637
bwd_pkts_payload.min,0.0021144925262287576
fwd_last_window_size,0.0019632827332281325
flow_ECE_flag_count,0.0019040534323669178
bwd_bulk_bytes,0.001622347958354665
fwd_header_size_min,0.0016178886903985656
bwd_header_size_min,0.0015317825564716636
proto_icmp,0.0013133122344948817
service_dns,0.0012560366912190122
proto_udp,0.0012364811473074098
service_mqtt,0.0010722754331626845
active.std,0.0010481608724877336
service_-,0.0010110154620944828
bwd_init_window_size,0.001009497248231889
service_http,0.0006731356423857087
bwd_bulk_packets,0.0006283329239378412
fwd_bulk_bytes,0.000619504596813879
service_ssl,0.000593358715650061
service_dhcp,0.0005835558617209481
idle.std,0.00040308970260421263
service_ntp,0.00034349004267011094
fwd_bulk_rate,0.0003099608905280105
service_irc,0.00015650937330150482
flow_CWR_flag_count,0.0001359736804105919
fwd_bulk_packets,0.00011962212990738808
bwd_URG_flag_count,0.0
service_radius,0.0
service_ssh,0.0
