model,dataset,kFold,kVal,f1_score,auc,ap,tp,fp,tn,fn,tnr,for,cm
Isolation Forest,cic-ids2018-wed21,0,0,0.9950950603350985,0.9991914064887814,0.9971533131301593,68775,678,35406,0,0.9812105088127702,0.0,"[[35406   678]
 [    0 68775]]"
Isolation Forest,cic-ids2018-wed21,1,0,0.9954551375761699,0.9990050401802877,0.9971752363640164,68775,628,35456,0,0.9825961645050438,0.0,"[[35456   628]
 [    0 68775]]"
Isolation Forest,cic-ids2018-wed21,2,0,0.9954694805100814,0.9992065596968678,0.9977610239787017,68774,626,35458,0,0.9826515907327348,0.0,"[[35458   626]
 [    0 68774]]"
Isolation Forest,cic-ids2018-wed21,3,0,0.9962698188508144,0.9988518420089582,0.9976629955513705,68774,515,35568,0,0.9857273508300307,0.0,"[[35568   515]
 [    0 68774]]"
Isolation Forest,cic-ids2018-wed21,4,0,0.9959956843179991,0.9986219409847832,0.9966336379954183,68774,553,35530,0,0.9846742233184602,0.0,"[[35530   553]
 [    0 68774]]"
Isolation Forest,cic-ids2018-wed21,5,0,0.9958009961774585,0.9990761070900147,0.9976745527532451,68774,580,35503,0,0.9839259485076075,0.0,"[[35503   580]
 [    0 68774]]"
Isolation Forest,cic-ids2018-wed21,6,0,0.9954478675901199,0.9989434677920611,0.9972419950375679,68774,629,35454,0,0.9825679682953191,0.0,"[[35454   629]
 [    0 68774]]"
Isolation Forest,cic-ids2018-wed21,7,0,0.9946056951133093,0.9989198251194816,0.9972668835680453,68774,746,35337,0,0.9793254441149571,0.0,"[[35337   746]
 [    0 68774]]"
Isolation Forest,cic-ids2018-wed21,8,0,0.9945625451916125,0.9992810441018787,0.9976864869979524,68774,752,35331,0,0.9791591608236566,0.0,"[[35331   752]
 [    0 68774]]"
Isolation Forest,cic-ids2018-wed21,9,0,0.9944906369749115,0.9989032150852049,0.9968420304642908,68774,762,35321,0,0.9788820220048222,0.0,"[[35321   762]
 [    0 68774]]"
